iso,chain,sub_chain,2015
BZ,Biomass,Biomass & Waste - Equipment Manufacturing,0
BO,Biomass,Biomass & Waste - Equipment Manufacturing,0
BW,Biomass,Biomass & Waste - Equipment Manufacturing,0
BR,Biomass,Biomass & Waste - Equipment Manufacturing,1
CM,Biomass,Biomass & Waste - Equipment Manufacturing,0
CL,Biomass,Biomass & Waste - Equipment Manufacturing,1
CN,Biomass,Biomass & Waste - Equipment Manufacturing,1
CO,Biomass,Biomass & Waste - Equipment Manufacturing,0
CD,Biomass,Biomass & Waste - Equipment Manufacturing,0
CR,Biomass,Biomass & Waste - Equipment Manufacturing,0
CI,Biomass,Biomass & Waste - Equipment Manufacturing,0
DO,Biomass,Biomass & Waste - Equipment Manufacturing,0
EC,Biomass,Biomass & Waste - Equipment Manufacturing,0
EG,Biomass,Biomass & Waste - Equipment Manufacturing,0
SV,Biomass,Biomass & Waste - Equipment Manufacturing,0
ET,Biomass,Biomass & Waste - Equipment Manufacturing,0
GH,Biomass,Biomass & Waste - Equipment Manufacturing,0
GT,Biomass,Biomass & Waste - Equipment Manufacturing,0
GY,Biomass,Biomass & Waste - Equipment Manufacturing,0
HT,Biomass,Biomass & Waste - Equipment Manufacturing,0
HN,Biomass,Biomass & Waste - Equipment Manufacturing,0
IN,Biomass,Biomass & Waste - Equipment Manufacturing,1
IN-AP,Biomass,Biomass & Waste - Equipment Manufacturing,1
IN-BR,Biomass,Biomass & Waste - Equipment Manufacturing,0
IN-MP,Biomass,Biomass & Waste - Equipment Manufacturing,1
IN-OR,Biomass,Biomass & Waste - Equipment Manufacturing,0
IN-UP,Biomass,Biomass & Waste - Equipment Manufacturing,0
IN-WB,Biomass,Biomass & Waste - Equipment Manufacturing,0
ID,Biomass,Biomass & Waste - Equipment Manufacturing,1
JM,Biomass,Biomass & Waste - Equipment Manufacturing,0
JO,Biomass,Biomass & Waste - Equipment Manufacturing,0
KE,Biomass,Biomass & Waste - Equipment Manufacturing,0
LB,Biomass,Biomass & Waste - Equipment Manufacturing,0
LR,Biomass,Biomass & Waste - Equipment Manufacturing,0
MW,Biomass,Biomass & Waste - Equipment Manufacturing,0
MX,Biomass,Biomass & Waste - Equipment Manufacturing,1
MZ,Biomass,Biomass & Waste - Equipment Manufacturing,0
MM,Biomass,Biomass & Waste - Equipment Manufacturing,0
NP,Biomass,Biomass & Waste - Equipment Manufacturing,0
NI,Biomass,Biomass & Waste - Equipment Manufacturing,0
NG,Biomass,Biomass & Waste - Equipment Manufacturing,0
PK,Biomass,Biomass & Waste - Equipment Manufacturing,0
PA,Biomass,Biomass & Waste - Equipment Manufacturing,0
PY,Biomass,Biomass & Waste - Equipment Manufacturing,1
PE,Biomass,Biomass & Waste - Equipment Manufacturing,0
RW,Biomass,Biomass & Waste - Equipment Manufacturing,0
SN,Biomass,Biomass & Waste - Equipment Manufacturing,0
SL,Biomass,Biomass & Waste - Equipment Manufacturing,0
ZA,Biomass,Biomass & Waste - Equipment Manufacturing,0
LK,Biomass,Biomass & Waste - Equipment Manufacturing,0
SR,Biomass,Biomass & Waste - Equipment Manufacturing,0
TJ,Biomass,Biomass & Waste - Equipment Manufacturing,0
TZ,Biomass,Biomass & Waste - Equipment Manufacturing,0
TT,Biomass,Biomass & Waste - Equipment Manufacturing,0
UG,Biomass,Biomass & Waste - Equipment Manufacturing,0
UY,Biomass,Biomass & Waste - Equipment Manufacturing,1
VE,Biomass,Biomass & Waste - Equipment Manufacturing,0
VN,Biomass,Biomass & Waste - Equipment Manufacturing,0
ZM,Biomass,Biomass & Waste - Equipment Manufacturing,0
ZW,Biomass,Biomass & Waste - Equipment Manufacturing,0
AR,Biomass,Biomass & Waste - Feedstock Supply,1
BS,Biomass,Biomass & Waste - Feedstock Supply,1
BD,Biomass,Biomass & Waste - Feedstock Supply,0
BB,Biomass,Biomass & Waste - Feedstock Supply,1
BZ,Biomass,Biomass & Waste - Feedstock Supply,0
BO,Biomass,Biomass & Waste - Feedstock Supply,1
BW,Biomass,Biomass & Waste - Feedstock Supply,0
BR,Biomass,Biomass & Waste - Feedstock Supply,1
CM,Biomass,Biomass & Waste - Feedstock Supply,0
CL,Biomass,Biomass & Waste - Feedstock Supply,1
CN,Biomass,Biomass & Waste - Feedstock Supply,1
CO,Biomass,Biomass & Waste - Feedstock Supply,1
CD,Biomass,Biomass & Waste - Feedstock Supply,1
CR,Biomass,Biomass & Waste - Feedstock Supply,1
CI,Biomass,Biomass & Waste - Feedstock Supply,1
DO,Biomass,Biomass & Waste - Feedstock Supply,0
